Round,LEACH,PEGASIS,HYBRID
1,0.49706825645600156,0.49840280131445136,0.4997435547329857
2,0.49359059971607144,0.49688634459791703,0.49947776020660895
3,0.4906773801459002,0.4954401431680167,0.4991895628863916
4,0.4884670786056183,0.49407060099190026,0.49888736292569924
5,0.486611272735576,0.49264988726115455,0.4985562115791776
6,0.48453771576497906,0.4912101725049293,0.49824911280652645
7,0.4825965170904206,0.4897090476190855,0.4979308612547431
8,0.47964179125533896,0.4883240382429411,0.4976090130858424
9,0.47650001057150865,0.4869973162913725,0.49728851280287584
10,0.4740689569976052,0.48573218817503167,0.4969655519662689
11,0.4717479883553269,0.48445195649105116,0.49665471042801684
12,0.4693372208501135,0.4832892840621955,0.4963243505238881
13,0.4669881719574128,0.48210583527072054,0.4960308365792199
14,0.4644048420329526,0.48096791499663993,0.4957615150532556
15,0.4624184976360203,0.47986810632017374,0.4955126542125759
16,0.4594942922985366,0.4787864756865116,0.4952195227194094
17,0.4558731584135011,0.47769888089623186,0.4949145549400607
18,0.4532121896878483,0.4765899528053263,0.4945807198003525
19,0.4494593925835876,0.4754952188679385,0.49425748882661485
20,0.4476362735462971,0.47439921463608686,0.49392953247618776
21,0.44514436062670515,0.47326134688399213,0.493620211024779
22,0.44219322755779616,0.47211056535022783,0.4932778728718143
23,0.4393934485234833,0.47091098259644587,0.49296714724766344
24,0.43640314202904074,0.4696842558047306,0.4926448048954063
25,0.43347362582572835,0.46842725727226486,0.4923199291818471
26,0.42863651982362433,0.46718291060196393,0.49200517239109814
27,0.42582380926464525,0.46580402324269454,0.4916941640802527
28,0.42375318334781203,0.4643401842763465,0.49137171520147793
29,0.4217623006206216,0.46300839564524393,0.4910398831748432
30,0.4202099266354983,0.46161195157919926,0.4907239818349817
31,0.41734011507764107,0.4602069292409844,0.49042995071771495
32,0.41462060325877226,0.4588233091427909,0.490107262061727
33,0.41170754650968666,0.45755594166408264,0.4898312527413854
34,0.40942754029652223,0.45629415449421,0.48951321667124403
35,0.4074853916222907,0.45509999247132255,0.4891777733858545
36,0.40538738105380745,0.45402680264584655,0.48883582381539414
37,0.40245831709092594,0.4529752856580743,0.48852013861733184
38,0.39965176797431307,0.4519256117909034,0.48824252516847194
39,0.397853247238588,0.4508716602840015,0.48793685563934597
40,0.3957949624951425,0.44979409392075065,0.4875789825060047
41,0.3927102858956209,0.4487034556562901,0.4872613067884249
42,0.3898095463095836,0.4476047629556233,0.48698261021425554
43,0.3872937385924074,0.44646078968747227,0.48665711277044305
44,0.38476812227934387,0.44529071435874656,0.4863327039216094
45,0.3821338361051933,0.44399504319466326,0.48546046680915644
46,0.380027729715433,0.4427468594205021,0.48514541242413656
47,0.37757238861252157,0.4416123021866204,0.484847121987238
48,0.37586784551117197,0.4405046253886465,0.48451036691150756
49,0.3739530269020838,0.43940232985627653,0.4841987929164284
50,0.37230144201062215,0.43837104681389283,0.483893959741281
51,0.36964497881766667,0.4373399972141327,0.4835671834723041
52,0.3671900964509205,0.43632135808653777,0.4832226403335106
53,0.3654739225967418,0.43529105207343816,0.48288588216623174
54,0.36295374373502276,0.4342515741972025,0.4825393264828911
55,0.35917606096993077,0.4332089910972586,0.48223266497162365
56,0.357207657871964,0.4322090427507846,0.48191005765460004
57,0.35338661566543356,0.4312188566131592,0.4815460332582131
58,0.35125107935923194,0.43022685712720504,0.48124697751416545
59,0.34910448107175235,0.42924043408860496,0.48090170718122793
60,0.3462767324585658,0.42826451985100694,0.48055405795620765
61,0.3440388423005459,0.42729445940061617,0.4802468689702226
62,0.34041134071653395,0.42632132375548315,0.4799347201676951
63,0.33842348907687275,0.42533779262217586,0.47960762949791474
64,0.33550845253365624,0.4243516286565729,0.47877052440631274
65,0.33314080800800805,0.4233659385792976,0.4784436162306664
66,0.3308838562608487,0.42237962812086993,0.4781263735682104
67,0.3287475513908051,0.42138351544433894,0.4778158007217459
68,0.32552317106325,0.4203868270145833,0.47748224177234844
69,0.3235693165997059,0.4194071570763491,0.47717439063803374
70,0.3200651950703528,0.41843784818141716,0.47685655710360497
71,0.3181594239707886,0.4174651048202373,0.4765221964838347
72,0.31409829744676965,0.4164988348463695,0.4761978486087374
73,0.3123865394280183,0.41552588589168754,0.47592038421950156
74,0.3100339987617693,0.4145492530540903,0.475592164075075
75,0.30761123090471476,0.41357067158946725,0.4752235631734817
76,0.30475280647643016,0.4125822888090345,0.47492280863177916
77,0.3029581640165365,0.4116024950073836,0.47457529618060607
78,0.3003519287932954,0.41061391728014485,0.4742100927089241
79,0.2986589761762009,0.40962586531130674,0.4738612847001218
80,0.29664072422730875,0.4086273927652112,0.4735051989661035
81,0.29353011297239123,0.4076236985646943,0.4731769163502526
82,0.2910957724609208,0.40660323866550835,0.4728537150190721
83,0.28850831133330934,0.40559762378685904,0.47256762558855425
84,0.28531633687830066,0.40459625569817104,0.47227113675853083
85,0.28359825548296586,0.40358976978011574,0.4719578998227299
86,0.2800265163477819,0.40258787975678345,0.4716784731751864
87,0.2784477961593601,0.40157894668291866,0.4713618184799174
88,0.2756105666093771,0.40053526985088206,0.4710467020543498
89,0.27055392646711995,0.39948327102479037,0.4707421975545785
90,0.2715148701548586,0.39833737202338587,0.47041772074580235
