Round,LEACH,PEGASIS,HYBRID,PSO_HYBRID
1,0.49706825645600156,0.49840280131445136,0.49847858825239233,0.6988955886851633
2,0.49359059971607144,0.49688634459791703,0.49700712585691853,0.697707446265762
3,0.4906773801459002,0.4954401431680167,0.49603383790592004,0.6962679412786185
4,0.4884670786056183,0.49407060099190026,0.49465736709057134,0.6948180146246122
5,0.486611272735576,0.49264988726115455,0.4939169438953643,0.6937409329237325
6,0.48453771576497906,0.4912101725049293,0.49258486836893994,0.6924350890132441
7,0.4825965170904206,0.4897090476190855,0.49049787149492813,0.6911515872497037
8,0.47964179125533896,0.4883240382429411,0.4901102603294985,0.6902275733235484
9,0.47650001057150865,0.4869973162913725,0.48900144937231826,0.6888202575995643
10,0.4740689569976052,0.48573218817503167,0.48780973010175616,0.6876556311835748
11,0.4717479883553269,0.48445195649105116,0.4870908354169594,0.686273559343077
12,0.4693372208501135,0.4832892840621955,0.486735123328826,0.6850881507901646
13,0.4669881719574128,0.48210583527072054,0.48632258527648803,0.6839698312469953
14,0.4644048420329526,0.48096791499663993,0.4858611052592488,0.6827552535045771
15,0.4624184976360203,0.47986810632017374,0.48526612354622595,0.6813974918841885
16,0.4594942922985366,0.4787864756865116,0.48413399967810733,0.6804320901095012
17,0.4558731584135011,0.47769888089623186,0.48272355131099703,0.6790832806884158
18,0.4532121896878483,0.4765899528053263,0.4804199783716181,0.6777297217344878
19,0.4494593925835876,0.4754952188679385,0.4782832888242574,0.6767200303547088
20,0.4476362735462971,0.47439921463608686,0.4756334498413154,0.6757995120758626
21,0.44514436062670515,0.47326134688399213,0.4738868002906837,0.674533723627174
22,0.44219322755779616,0.47211056535022783,0.47300787808336137,0.6731965858970649
23,0.4393934485234833,0.47091098259644587,0.47198516733388796,0.6719577751565049
24,0.43640314202904074,0.4696842558047306,0.47143685914369,0.6708128879013145
25,0.43347362582572835,0.46842725727226486,0.4707779160176297,0.6697358155012734
26,0.42863651982362433,0.46718291060196393,0.47047220902182674,0.6685382170990779
27,0.42582380926464525,0.46580402324269454,0.47016650202602406,0.667138047562031
28,0.42375318334781203,0.4643401842763465,0.4696714536456838,0.666168756288738
29,0.4217623006206216,0.46300839564524393,0.46920831965927756,0.665192211386368
30,0.4202099266354983,0.46161195157919926,0.4686165484948448,0.6641984983700014
31,0.41734011507764107,0.4602069292409844,0.4681455484511812,0.6630263027097925
32,0.41462060325877226,0.4588233091427909,0.4677645333941183,0.6619770249391622
33,0.41170754650968666,0.45755594166408264,0.4670911610294446,0.6610322202732142
34,0.40942754029652223,0.45629415449421,0.46622382170810023,0.6596298088112753
35,0.4074853916222907,0.45509999247132255,0.46468457494945964,0.6585403630040296
36,0.40538738105380745,0.45402680264584655,0.46288627213608435,0.657542009222845
37,0.40245831709092594,0.4529752856580743,0.46134450572932606,0.6561874636944838
38,0.39965176797431307,0.4519256117909034,0.4594500015686394,0.6551365449477449
39,0.397853247238588,0.4508716602840015,0.4574650973270181,0.654290106802574
40,0.3957949624951425,0.44979409392075065,0.4550039080746495,0.6533919967196737
41,0.3927102858956209,0.4487034556562901,0.453100618834352,0.6520441641479838
42,0.3898095463095836,0.4476047629556233,0.45209513402526547,0.6506882507557968
43,0.3872937385924074,0.44646078968747227,0.45128025099475794,0.6496630698708898
44,0.38476812227934387,0.44529071435874656,0.4508321021568646,0.6485393680175732
45,0.3821338361051933,0.44399504319466326,0.4504570853401402,0.6475581152368184
46,0.380027729715433,0.4427468594205021,0.45011384687866063,0.6466858562522243
47,0.37757238861252157,0.4416123021866204,0.44965331078860893,0.6451885147208878
48,0.37586784551117197,0.4405046253886465,0.4490851551496323,0.6440744554505352
49,0.3739530269020838,0.43940232985627653,0.4475673910541705,0.6433874047453615
50,0.37230144201062215,0.43837104681389283,0.4469897695460842,0.6423282002866744
51,0.36964497881766667,0.4373399972141327,0.445904087492303,0.6407084973814453
52,0.3671900964509205,0.43632135808653777,0.44501665008543173,0.6395252054564883
53,0.3654739225967418,0.43529105207343816,0.4436639635240829,0.6382886864009165
54,0.36295374373502276,0.4342515741972025,0.44161087078061817,0.6368796511015126
55,0.35917606096993077,0.4332089910972586,0.4398686740937975,0.6356433111828622
56,0.357207657871964,0.4322090427507846,0.43834808038013057,0.634608437010979
57,0.35338661566543356,0.4312188566131592,0.43607501879280997,0.6336180060203749
58,0.35125107935923194,0.43022685712720504,0.4341149601627945,0.632479640678595
59,0.34910448107175235,0.42924043408860496,0.4318298959627614,0.6312458844132187
60,0.3462767324585658,0.42826451985100694,0.4290738850797322,0.6302632043661803
61,0.3440388423005459,0.42729445940061617,0.428213001404311,0.6292917254685606
62,0.34041134071653395,0.42632132375548315,0.42772857031316724,0.627835439350116
63,0.33842348907687275,0.42533779262217586,0.42730822438959776,0.6263471005894385
64,0.33550845253365624,0.4243516286565729,0.42654727541886067,0.6252876549962437
65,0.33314080800800805,0.4233659385792976,0.4254281863192217,0.6242317989501917
66,0.3308838562608487,0.42237962812086993,0.4245578376542715,0.6228623958958217
67,0.3287475513908051,0.42138351544433894,0.4241240721802727,0.6215790986596833
68,0.32552317106325,0.4203868270145833,0.423565594799496,0.6200677089987627
69,0.3235693165997059,0.4194071570763491,0.42297342201742444,0.6190726693322928
70,0.3200651950703528,0.41843784818141716,0.42226107056786044,0.6178991910196036
71,0.3181594239707886,0.4174651048202373,0.4212077111478989,0.6168472853567782
72,0.31409829744676965,0.4164988348463695,0.41979076162624746,0.6154693722983609
73,0.3123865394280183,0.41552588589168754,0.4184058182584266,0.6139486750062548
74,0.3100339987617693,0.4145492530540903,0.4168738652852897,0.6128520140529211
75,0.30761123090471476,0.41357067158946725,0.41521389491622296,0.6119681921347571
76,0.30475280647643016,0.4125822888090345,0.4130972234077398,0.6106406647237814
77,0.3029581640165365,0.4116024950073836,0.41088786023774987,0.6097445090648812
78,0.3003519287932954,0.41061391728014485,0.4084955237923622,0.6085934272715333
79,0.2986589761762009,0.40962586531130674,0.40604550532917144,0.6071904638484934
80,0.29664072422730875,0.4086273927652112,0.4032095330857839,0.6062520009251368
81,0.29353011297239123,0.4076236985646943,0.4026287657891523,0.6048557808625167
82,0.2910957724609208,0.40660323866550835,0.40221989869124763,0.6040304839546703
83,0.28850831133330934,0.40559762378685904,0.4018316155129024,0.603055835303225
84,0.28531633687830066,0.40459625569817104,0.40138309221342267,0.60168994406044
85,0.28359825548296586,0.40358976978011574,0.40095361971526194,0.6004301054041947
86,0.2800265163477819,0.40258787975678345,0.39993012132207406,0.598962627241196
87,0.2784477961593601,0.40157894668291866,0.39917958362435735,0.5975109370664123
88,0.2756105666093771,0.40053526985088206,0.39843472782732187,0.5965422859178591
89,0.27055392646711995,0.39948327102479037,0.3977269622657555,0.5951519160524071
90,0.2715148701548586,0.39833737202338587,0.3969161397091358,0.5941788898506276
91,0.26878739861942424,0.39730185850447325,0.39565211641939696,0.5931079380752418
92,0.26913895621414485,0.39626901677367454,0.3944777870585428,0.5917269623318911
93,0.2658729239852934,0.39528417552677975,0.3932502782214698,0.5904366193814696
94,0.2634046594214673,0.3942719256758035,0.3915477730248887,0.589487284576827
95,0.26085629716580433,0.393266085683703,0.39005432241528093,0.5881787434223711
96,0.25882462874822715,0.39222681859919845,0.3881479219693988,0.5870158266014586
97,0.2565137621342321,0.39118445429864673,0.3859906136589935,0.586108378953059
98,0.25448699982864187,0.3901191772564134,0.38368628250627623,0.5848548535655668
99,0.25182370958702194,0.389052744000835,0.3811443706866723,0.5839621351174558
100,0.24965624842571013,0.3875891047753371,0.37822521343995663,0.5829065374073652
101,0.247474800738066,0.38599190608978845,0.3778605754921852,0.5817428860611977
102,0.24713732267762425,0.38447544937325373,0.37741670805956473,0.5808954544177383
103,0.24381317133495606,0.38302924794335375,0.37669236261051026,0.5796799381902996
104,0.24375694945032145,0.38165970576723746,0.37624350724381117,0.5783840260181502
105,0.2410974973399628,0.3802389920364917,0.3757971734291112,0.5774971653009472
106,0.23847103254029703,0.3787992772802663,0.3752659161984223,0.5762041530424057
107,0.23691857070229838,0.37729815239442255,0.37465500840604676,0.5748196617159915
108,0.23688180437524667,0.3759131430182784,0.37386746059661013,0.5734427397291095
109,0.2346814919822527,0.3745864210667096,0.3731762398244238,0.5725811129942308
110,0.22843356257048913,0.3733212929503688,0.37219404306536347,0.5717326980548894
111,0.22955704204789332,0.372041061266388,0.3713149353928472,0.5709837957725802
112,0.22670093267924238,0.37087838883753244,0.3704068649405482,0.5698666572085661
113,0.22413728887481332,0.3696949400460578,0.36926503612986167,0.568149790883323
114,0.22407587124469003,0.3685570197719772,0.36783199172985037,0.5673918817380748
115,0.2242749934681549,0.36745721109551077,0.3662867035599468,0.566561658078917
116,0.2223043612947997,0.3663755804618485,0.36422587425446934,0.5655557545260708
117,0.2203320100678524,0.36528798567156884,0.3621392120285785,0.564287936828148
118,0.2186110109379999,0.3641790575806635,0.3598143917582471,0.5632686483291883
119,0.2170321994266689,0.36308432364327553,0.35728523569270765,0.5622220640797373
120,0.2153040553388618,0.36198831941142395,0.354366078445992,0.5611738540774782
121,0.21523484395766657,0.3608504516593291,0.3540261798895905,0.5598429264414156
122,0.2150777879312017,0.35969967012556503,0.3536334319321701,0.5585642246938652
123,0.21278937999763306,0.358500087371783,0.35320461093887034,0.5574560451426125
124,0.21050203393681527,0.35727336058006787,0.3528141560871657,0.556338525216105
125,0.20862419869116638,0.35601636204760206,0.3524305984202964,0.5554188060835031
126,0.20613070248868812,0.354772015377301,0.35199601927103985,0.5545357248077863
127,0.20546761615822365,0.35339312801803174,0.3514878744814813,0.5536209583302835
128,0.20572656624691205,0.3519292890516838,0.35071042230570026,0.5522912923054915
129,0.20642129571500062,0.3505975004205812,0.34973792226240485,0.5511959455426287
130,0.2042220207730122,0.34920105635453647,0.3486830647844385,0.5499840324589351
131,0.20169960042910973,0.34779603401632153,0.34699521103730274,0.5488591729373967
132,0.19950220266069102,0.346412413918128,0.34544730817564245,0.5473615926540046
133,0.2020599543580202,0.3451450464394197,0.34420165558406846,0.5461103908610123
134,0.20546367275525243,0.34388325926954705,0.34286637846016504,0.5446893100879477
135,0.20352224083567905,0.34268909724665947,0.3415311013362621,0.5437967672679178
136,0.203990386749074,0.3416159074211836,0.3396993186741533,0.5428709090990507
137,0.2044444770691812,0.3405643904334113,0.3375723127511585,0.5416642528816535
138,0.20691146108378597,0.3395147165662406,0.3351758251524102,0.5404089235875985
139,0.2053979326034523,0.33846076505933886,0.3326466690868707,0.5393244243661718
140,0.20386570997895506,0.3373831986960875,0.34845662109122255,0.5383363090351296
141,0.2011777588819614,0.33629256043162703,0.34818004003214265,0.5374882224909902
142,0.20143558269456105,0.3351938677309603,0.3475697175241011,0.5363970333891276
143,0.1990368474607658,0.3340498944628093,0.34718814649971325,0.5350265586704981
144,0.19596022232411311,0.33287981913408354,0.34678094906810125,0.5336174196086169
145,0.194306221140118,0.33158414797000035,0.345847400647758,0.5325590134574913
146,0.1924474671641666,0.33033596419583916,0.3452926416672279,0.5316559921685595
147,0.19089200330280479,0.32920140696195754,0.34466737542471576,0.530100558223126
148,0.18857515764429467,0.32809373016398324,0.34342795783273533,0.5289201670576594
149,0.18685405424028664,0.3269914346316136,0.34269511442617245,0.5282752464946138
150,0.18520447930090875,0.32596015158923003,0.3414884922684043,0.5272827798924191
151,0.18279778464681964,0.32492910198946967,0.34000666262157114,0.5258804894126714
152,0.18334805054384398,0.3239104628618747,0.33819371582963415,0.5248123177560025
153,0.18161625187902047,0.3228801568487756,0.3367308913968727,0.523509311925465
154,0.17947063377549294,0.3218406789725395,0.33523746708859675,0.5223805782182067
