Round,LEACH_Alive,LEACH_Energy,PEGASIS_Alive,PEGASIS_Energy,HYBRID_Alive,HYBRID_Energy
709,0,0.0,0,0.0,3,0.20836164309227578
710,0,0.0,0,0.0,3,0.2066303745395148
711,0,0.0,0,0.0,3,0.2048991059867538
712,0,0.0,0,0.0,3,0.2031678374339928
713,0,0.0,0,0.0,3,0.20143656888123182
714,0,0.0,0,0.0,3,0.1997053003284708
715,0,0.0,0,0.0,3,0.19797403177570982
716,0,0.0,0,0.0,3,0.19624276322294884
717,0,0.0,0,0.0,3,0.19451149467018783
718,0,0.0,0,0.0,3,0.19278022611742685
719,0,0.0,0,0.0,3,0.19104895756466586
720,0,0.0,0,0.0,3,0.18931768901190485
721,0,0.0,0,0.0,3,0.18758642045914387
722,0,0.0,0,0.0,3,0.18585515190638288
723,0,0.0,0,0.0,3,0.18412388335362187
724,0,0.0,0,0.0,3,0.18239261480086089
725,0,0.0,0,0.0,3,0.1806613462480999
726,0,0.0,0,0.0,3,0.17954838884619786
727,0,0.0,0,0.0,3,0.17810310811395866
728,0,0.0,0,0.0,3,0.17637183956119765
729,0,0.0,0,0.0,3,0.17464057100843666
730,0,0.0,0,0.0,3,0.17290930245567568
731,0,0.0,0,0.0,3,0.17117803390291467
732,0,0.0,0,0.0,3,0.16944676535015368
733,0,0.0,0,0.0,3,0.1677154967973927
734,0,0.0,0,0.0,3,0.1659842282446317
735,0,0.0,0,0.0,3,0.1642529596918707
736,0,0.0,0,0.0,3,0.16252169113910972
737,0,0.0,0,0.0,3,0.1607904225863487
738,0,0.0,0,0.0,3,0.15905915403358772
739,0,0.0,0,0.0,3,0.15732788548082674
740,0,0.0,0,0.0,3,0.15559661692806573
741,0,0.0,0,0.0,3,0.15386534837530474
742,0,0.0,0,0.0,3,0.15213407982254376
743,0,0.0,0,0.0,3,0.15040281126978275
744,0,0.0,0,0.0,3,0.14867154271702177
745,0,0.0,0,0.0,3,0.14694027416426078
746,0,0.0,0,0.0,3,0.14520900561149977
747,0,0.0,0,0.0,3,0.14347773705873879
